section,variant,dataset,revision,machine_id,iteration,variable,value,unit
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,512355565,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,512364229,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,296481370,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,435565237,ns
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,-139264,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546512709,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,662565773,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,34157144,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,40279422,ns
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546517149,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,546521977,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,4440,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,218652639,ns
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,552712729,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,4440,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,35981730,ns
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,546530857,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,199232594,ns
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,550241601,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,35465353,ns
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,546530857,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,199755934,ns
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,550241601,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,73675535,ns
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,546521589,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_peak,546530857,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,heap_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,stack_peak,6291456,byte
load,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,162067420,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,434787487,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,-272363520,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,-272224256,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,512355565,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,512364229,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,296481370,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,435623015,ns
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,-139264,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546512709,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,662565773,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,34157144,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,40538159,ns
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546517149,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,546521977,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,4440,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,218504470,ns
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,552712729,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,4440,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,36277196,ns
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,546530857,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,200237448,ns
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,550241601,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,35764365,ns
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,546530857,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,199540754,ns
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,550241601,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,walltime,73233592,ns
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,virtmem_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,rss_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,546521589,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_peak,546530857,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,heap_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,2,stack_peak,6291456,byte
load,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,172595695,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,435599361,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,-272363520,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,-272224256,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,512355565,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,512364229,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,296481370,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,459554503,ns
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,-100282368,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,-100401152,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546512709,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,662565773,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,34157144,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,40377290,ns
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546517149,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,546521977,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,4440,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,220832019,ns
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,552712729,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,4440,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,36075950,ns
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,546530857,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,201626531,ns
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,550241601,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,35553494,ns
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,546530857,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,201304258,ns
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,550241601,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,walltime,74009910,ns
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,virtmem_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,rss_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,546521589,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_peak,546530857,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,heap_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,3,stack_peak,6291456,byte
load,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,walltime,172035517,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,walltime,435608223,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,virtmem_delta,-272363520,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,rss_delta,-272224256,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,stack_peak,512355565,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,heap_peak,512364229,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,heap_delta,296481370,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,stack_peak,6291456,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,walltime,437572730,ns
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,virtmem_delta,0,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,4,rss_delta,-139264,byte
