algorithm,variant,dataset,iteration,walltime_ns
compute_afs,sf,data/tgp_chr14.trees,9,17683652
compute_afs,tskit,data/tgp_chr14.trees,9,56309870
load,tskit,data/tgp_chr17.trees,0,1216201967
build_sf,sf,data/tgp_chr17.trees,0,135787199549
compute_subtree_sizes,sf,data/tgp_chr17.trees,0,135937903407
compute_afs,sf,data/tgp_chr17.trees,0,214981405
compute_afs,tskit,data/tgp_chr17.trees,0,997725377
load,tskit,data/tgp_chr17.trees,1,1078493060
build_sf,sf,data/tgp_chr17.trees,1,122423701316
compute_subtree_sizes,sf,data/tgp_chr17.trees,1,122574947721
compute_afs,sf,data/tgp_chr17.trees,1,217155012
compute_afs,tskit,data/tgp_chr17.trees,1,987997594
load,tskit,data/tgp_chr17.trees,2,1090016203
build_sf,sf,data/tgp_chr17.trees,2,121361355415
compute_subtree_sizes,sf,data/tgp_chr17.trees,2,121512420619
compute_afs,sf,data/tgp_chr17.trees,2,214562339
compute_afs,tskit,data/tgp_chr17.trees,2,979953133
load,tskit,data/tgp_chr17.trees,3,1072138038
build_sf,sf,data/tgp_chr17.trees,3,122395894920
compute_subtree_sizes,sf,data/tgp_chr17.trees,3,122546639339
compute_afs,sf,data/tgp_chr17.trees,3,213074981
compute_afs,tskit,data/tgp_chr17.trees,3,1000417437
load,tskit,data/tgp_chr17.trees,4,1078874682
build_sf,sf,data/tgp_chr17.trees,4,122388840838
compute_subtree_sizes,sf,data/tgp_chr17.trees,4,122537899416
compute_afs,sf,data/tgp_chr17.trees,4,211953006
compute_afs,tskit,data/tgp_chr17.trees,4,984928174
load,tskit,data/tgp_chr17.trees,5,1074640057
build_sf,sf,data/tgp_chr17.trees,5,123961204389
compute_subtree_sizes,sf,data/tgp_chr17.trees,5,124112009359
compute_afs,sf,data/tgp_chr17.trees,5,214316286
compute_afs,tskit,data/tgp_chr17.trees,5,982804557
load,tskit,data/tgp_chr17.trees,6,1085182730
build_sf,sf,data/tgp_chr17.trees,6,123532351987
compute_subtree_sizes,sf,data/tgp_chr17.trees,6,123678133165
compute_afs,sf,data/tgp_chr17.trees,6,218712981
compute_afs,tskit,data/tgp_chr17.trees,6,988804001
load,tskit,data/tgp_chr17.trees,7,1077134058
build_sf,sf,data/tgp_chr17.trees,7,121791028200
compute_subtree_sizes,sf,data/tgp_chr17.trees,7,121941100185
compute_afs,sf,data/tgp_chr17.trees,7,208805483
compute_afs,tskit,data/tgp_chr17.trees,7,995986586
load,tskit,data/tgp_chr17.trees,8,1076853126
build_sf,sf,data/tgp_chr17.trees,8,122292365857
compute_subtree_sizes,sf,data/tgp_chr17.trees,8,122442010983
compute_afs,sf,data/tgp_chr17.trees,8,211588823
compute_afs,tskit,data/tgp_chr17.trees,8,990566500
load,tskit,data/tgp_chr17.trees,9,1073373078
build_sf,sf,data/tgp_chr17.trees,9,122647990712
compute_subtree_sizes,sf,data/tgp_chr17.trees,9,122799482404
compute_afs,sf,data/tgp_chr17.trees,9,217981738
compute_afs,tskit,data/tgp_chr17.trees,9,977579104
load,tskit,data/tgp_chr19.trees,0,800699155
build_sf,sf,data/tgp_chr19.trees,0,84913932350
compute_subtree_sizes,sf,data/tgp_chr19.trees,0,85028177056
compute_afs,sf,data/tgp_chr19.trees,0,160676490
compute_afs,tskit,data/tgp_chr19.trees,0,707127648
load,tskit,data/tgp_chr19.trees,1,793211269
build_sf,sf,data/tgp_chr19.trees,1,84108323105
compute_subtree_sizes,sf,data/tgp_chr19.trees,1,84222769152
compute_afs,sf,data/tgp_chr19.trees,1,157791401
compute_afs,tskit,data/tgp_chr19.trees,1,702699794
load,tskit,data/tgp_chr19.trees,2,794305584
build_sf,sf,data/tgp_chr19.trees,2,83617192308
compute_subtree_sizes,sf,data/tgp_chr19.trees,2,83731177198
compute_afs,sf,data/tgp_chr19.trees,2,159230168
compute_afs,tskit,data/tgp_chr19.trees,2,705063036
load,tskit,data/tgp_chr19.trees,3,791049174
build_sf,sf,data/tgp_chr19.trees,3,83997927846
compute_subtree_sizes,sf,data/tgp_chr19.trees,3,84112806256
compute_afs,sf,data/tgp_chr19.trees,3,153588285
compute_afs,tskit,data/tgp_chr19.trees,3,708274300
load,tskit,data/tgp_chr19.trees,4,795963799
build_sf,sf,data/tgp_chr19.trees,4,83398516521
compute_subtree_sizes,sf,data/tgp_chr19.trees,4,83512518779
compute_afs,sf,data/tgp_chr19.trees,4,157140219
compute_afs,tskit,data/tgp_chr19.trees,4,700177062
load,tskit,data/tgp_chr19.trees,5,792680051
build_sf,sf,data/tgp_chr19.trees,5,83201266253
compute_subtree_sizes,sf,data/tgp_chr19.trees,5,83315346082
compute_afs,sf,data/tgp_chr19.trees,5,157261989
compute_afs,tskit,data/tgp_chr19.trees,5,699725393
load,tskit,data/tgp_chr19.trees,6,790766903
build_sf,sf,data/tgp_chr19.trees,6,82819260901
compute_subtree_sizes,sf,data/tgp_chr19.trees,6,82931825760
compute_afs,sf,data/tgp_chr19.trees,6,159987123
compute_afs,tskit,data/tgp_chr19.trees,6,700239315
load,tskit,data/tgp_chr19.trees,7,783282705
build_sf,sf,data/tgp_chr19.trees,7,84356701681
compute_subtree_sizes,sf,data/tgp_chr19.trees,7,84477087777
compute_afs,sf,data/tgp_chr19.trees,7,157381219
compute_afs,tskit,data/tgp_chr19.trees,7,706905746
load,tskit,data/tgp_chr19.trees,8,791418553
build_sf,sf,data/tgp_chr19.trees,8,83632911099
compute_subtree_sizes,sf,data/tgp_chr19.trees,8,83746645622
compute_afs,sf,data/tgp_chr19.trees,8,158356051
compute_afs,tskit,data/tgp_chr19.trees,8,704813346
load,tskit,data/tgp_chr19.trees,9,789094831
build_sf,sf,data/tgp_chr19.trees,9,83776576209
compute_subtree_sizes,sf,data/tgp_chr19.trees,9,83890907319
compute_afs,sf,data/tgp_chr19.trees,9,162925837
compute_afs,tskit,data/tgp_chr19.trees,9,697492863
load,tskit,data/tgp_chr20.trees,0,753719745
build_sf,sf,data/tgp_chr20.trees,0,99190774215
compute_subtree_sizes,sf,data/tgp_chr20.trees,0,99298092396
compute_afs,sf,data/tgp_chr20.trees,0,151173075
compute_afs,tskit,data/tgp_chr20.trees,0,684611070
load,tskit,data/tgp_chr20.trees,1,754938621
build_sf,sf,data/tgp_chr20.trees,1,96433465138
compute_subtree_sizes,sf,data/tgp_chr20.trees,1,96540718654
compute_afs,sf,data/tgp_chr20.trees,1,150039289
compute_afs,tskit,data/tgp_chr20.trees,1,687074601
load,tskit,data/tgp_chr20.trees,2,709727976
build_sf,sf,data/tgp_chr20.trees,2,96391501061
compute_subtree_sizes,sf,data/tgp_chr20.trees,2,96498041436
compute_afs,sf,data/tgp_chr20.trees,2,155770196
compute_afs,tskit,data/tgp_chr20.trees,2,686222545
load,tskit,data/tgp_chr20.trees,3,717239217
build_sf,sf,data/tgp_chr20.trees,3,96482903416
compute_subtree_sizes,sf,data/tgp_chr20.trees,3,96587036622
compute_afs,sf,data/tgp_chr20.trees,3,155174543
compute_afs,tskit,data/tgp_chr20.trees,3,681571383
load,tskit,data/tgp_chr20.trees,4,750032415
build_sf,sf,data/tgp_chr20.trees,4,97399297263
compute_subtree_sizes,sf,data/tgp_chr20.trees,4,97503889136
compute_afs,sf,data/tgp_chr20.trees,4,150806786
compute_afs,tskit,data/tgp_chr20.trees,4,683142971
load,tskit,data/tgp_chr20.trees,5,752390069
build_sf,sf,data/tgp_chr20.trees,5,98522738252
compute_subtree_sizes,sf,data/tgp_chr20.trees,5,98628627094
compute_afs,sf,data/tgp_chr20.trees,5,157774386
compute_afs,tskit,data/tgp_chr20.trees,5,695162211
load,tskit,data/tgp_chr20.trees,6,751285038
build_sf,sf,data/tgp_chr20.trees,6,96296114373
compute_subtree_sizes,sf,data/tgp_chr20.trees,6,96402519247
compute_afs,sf,data/tgp_chr20.trees,6,150519256
compute_afs,tskit,data/tgp_chr20.trees,6,683675080
load,tskit,data/tgp_chr20.trees,7,739947995
build_sf,sf,data/tgp_chr20.trees,7,96134183055
compute_subtree_sizes,sf,data/tgp_chr20.trees,7,96241493856
compute_afs,sf,data/tgp_chr20.trees,7,155627824
compute_afs,tskit,data/tgp_chr20.trees,7,677728906
load,tskit,data/tgp_chr20.trees,8,754751653
build_sf,sf,data/tgp_chr20.trees,8,96083798421
compute_subtree_sizes,sf,data/tgp_chr20.trees,8,96190079905
compute_afs,sf,data/tgp_chr20.trees,8,146911140
compute_afs,tskit,data/tgp_chr20.trees,8,683946391
load,tskit,data/tgp_chr20.trees,9,747209642
build_sf,sf,data/tgp_chr20.trees,9,96251803614
compute_subtree_sizes,sf,data/tgp_chr20.trees,9,96363125930
compute_afs,sf,data/tgp_chr20.trees,9,147777305
compute_afs,tskit,data/tgp_chr20.trees,9,685894577
load,tskit,data/tgp_chr21.trees,0,917507114
build_sf,sf,data/tgp_chr21.trees,0,60405014281
compute_subtree_sizes,sf,data/tgp_chr21.trees,0,60469514243
compute_afs,sf,data/tgp_chr21.trees,0,140305741
compute_afs,tskit,data/tgp_chr21.trees,0,647334935
load,tskit,data/tgp_chr21.trees,1,907362036
build_sf,sf,data/tgp_chr21.trees,1,60322222207
compute_subtree_sizes,sf,data/tgp_chr21.trees,1,60397102438
compute_afs,sf,data/tgp_chr21.trees,1,129949376
compute_afs,tskit,data/tgp_chr21.trees,1,660620528
load,tskit,data/tgp_chr21.trees,2,900590536
build_sf,sf,data/tgp_chr21.trees,2,60240444977
compute_subtree_sizes,sf,data/tgp_chr21.trees,2,60314780581
compute_afs,sf,data/tgp_chr21.trees,2,133470302
compute_afs,tskit,data/tgp_chr21.trees,2,648956773
load,tskit,data/tgp_chr21.trees,3,893696484
build_sf,sf,data/tgp_chr21.trees,3,60066128202
compute_subtree_sizes,sf,data/tgp_chr21.trees,3,60134679096
compute_afs,sf,data/tgp_chr21.trees,3,135610780
compute_afs,tskit,data/tgp_chr21.trees,3,649704180
load,tskit,data/tgp_chr21.trees,4,906894017
build_sf,sf,data/tgp_chr21.trees,4,60690437214
compute_subtree_sizes,sf,data/tgp_chr21.trees,4,60759187972
compute_afs,sf,data/tgp_chr21.trees,4,129886421
compute_afs,tskit,data/tgp_chr21.trees,4,639511331
load,tskit,data/tgp_chr21.trees,5,880413931
build_sf,sf,data/tgp_chr21.trees,5,60581690614
compute_subtree_sizes,sf,data/tgp_chr21.trees,5,60649525540
compute_afs,sf,data/tgp_chr21.trees,5,127049297
compute_afs,tskit,data/tgp_chr21.trees,5,641101757
load,tskit,data/tgp_chr21.trees,6,890551425
build_sf,sf,data/tgp_chr21.trees,6,60119307384
compute_subtree_sizes,sf,data/tgp_chr21.trees,6,60186421022
compute_afs,sf,data/tgp_chr21.trees,6,134847424
compute_afs,tskit,data/tgp_chr21.trees,6,648097729
load,tskit,data/tgp_chr21.trees,7,909059651
build_sf,sf,data/tgp_chr21.trees,7,59840562628
compute_subtree_sizes,sf,data/tgp_chr21.trees,7,59908127722
compute_afs,sf,data/tgp_chr21.trees,7,126380681
compute_afs,tskit,data/tgp_chr21.trees,7,653593902
load,tskit,data/tgp_chr21.trees,8,902323384
build_sf,sf,data/tgp_chr21.trees,8,59734262973
compute_subtree_sizes,sf,data/tgp_chr21.trees,8,59801930889
compute_afs,sf,data/tgp_chr21.trees,8,130870138
compute_afs,tskit,data/tgp_chr21.trees,8,653913880
load,tskit,data/tgp_chr21.trees,9,905223365
build_sf,sf,data/tgp_chr21.trees,9,59701671739
compute_subtree_sizes,sf,data/tgp_chr21.trees,9,59767802317
compute_afs,sf,data/tgp_chr21.trees,9,133439749
compute_afs,tskit,data/tgp_chr21.trees,9,657117844
load,tskit,data/tgp_chr22.trees,0,932921968
build_sf,sf,data/tgp_chr22.trees,0,54269912554
compute_subtree_sizes,sf,data/tgp_chr22.trees,0,54339627307
compute_afs,sf,data/tgp_chr22.trees,0,132883823
compute_afs,tskit,data/tgp_chr22.trees,0,652401862
load,tskit,data/tgp_chr22.trees,1,933874704
build_sf,sf,data/tgp_chr22.trees,1,54212183065
compute_subtree_sizes,sf,data/tgp_chr22.trees,1,54282217662
compute_afs,sf,data/tgp_chr22.trees,1,133779116
compute_afs,tskit,data/tgp_chr22.trees,1,649714430
load,tskit,data/tgp_chr22.trees,2,918626069
build_sf,sf,data/tgp_chr22.trees,2,54044378929
compute_subtree_sizes,sf,data/tgp_chr22.trees,2,54114788071
compute_afs,sf,data/tgp_chr22.trees,2,129801707
compute_afs,tskit,data/tgp_chr22.trees,2,651371654
load,tskit,data/tgp_chr22.trees,3,933743449
build_sf,sf,data/tgp_chr22.trees,3,54179248891
compute_subtree_sizes,sf,data/tgp_chr22.trees,3,54250739275
compute_afs,sf,data/tgp_chr22.trees,3,135597699
compute_afs,tskit,data/tgp_chr22.trees,3,660180074
load,tskit,data/tgp_chr22.trees,4,915668968
build_sf,sf,data/tgp_chr22.trees,4,54086037641
compute_subtree_sizes,sf,data/tgp_chr22.trees,4,54156447793
compute_afs,sf,data/tgp_chr22.trees,4,138817969
compute_afs,tskit,data/tgp_chr22.trees,4,650496216
load,tskit,data/tgp_chr22.trees,5,931186922
build_sf,sf,data/tgp_chr22.trees,5,54331885444
compute_subtree_sizes,sf,data/tgp_chr22.trees,5,54403004364
compute_afs,sf,data/tgp_chr22.trees,5,135141875
compute_afs,tskit,data/tgp_chr22.trees,5,659370708
load,tskit,data/tgp_chr22.trees,6,912563934
build_sf,sf,data/tgp_chr22.trees,6,54546936073
compute_subtree_sizes,sf,data/tgp_chr22.trees,6,54618265946
compute_afs,sf,data/tgp_chr22.trees,6,136798635
compute_afs,tskit,data/tgp_chr22.trees,6,653597028
load,tskit,data/tgp_chr22.trees,7,931079516
build_sf,sf,data/tgp_chr22.trees,7,54214552645
compute_subtree_sizes,sf,data/tgp_chr22.trees,7,54286295965
compute_afs,sf,data/tgp_chr22.trees,7,131151075
compute_afs,tskit,data/tgp_chr22.trees,7,659288309
load,tskit,data/tgp_chr22.trees,8,930981386
build_sf,sf,data/tgp_chr22.trees,8,54295214675
compute_subtree_sizes,sf,data/tgp_chr22.trees,8,54366823201
compute_afs,sf,data/tgp_chr22.trees,8,141510695
compute_afs,tskit,data/tgp_chr22.trees,8,650104676
load,tskit,data/tgp_chr22.trees,9,919235962
build_sf,sf,data/tgp_chr22.trees,9,54255018705
compute_subtree_sizes,sf,data/tgp_chr22.trees,9,54327169009
compute_afs,sf,data/tgp_chr22.trees,9,137640165
compute_afs,tskit,data/tgp_chr22.trees,9,659650696
load,tskit,data/tgp_chr8.trees,0,53087688
build_sf,sf,data/tgp_chr8.trees,0,8243234714
compute_subtree_sizes,sf,data/tgp_chr8.trees,0,8250005678
compute_afs,sf,data/tgp_chr8.trees,0,12721378
compute_afs,tskit,data/tgp_chr8.trees,0,58142091
load,tskit,data/tgp_chr8.trees,1,52988087
build_sf,sf,data/tgp_chr8.trees,1,8184159483
compute_subtree_sizes,sf,data/tgp_chr8.trees,1,8195203920
compute_afs,sf,data/tgp_chr8.trees,1,15611374
compute_afs,tskit,data/tgp_chr8.trees,1,56058555
load,tskit,data/tgp_chr8.trees,2,52765194
build_sf,sf,data/tgp_chr8.trees,2,8187215143
compute_subtree_sizes,sf,data/tgp_chr8.trees,2,8196490428
compute_afs,sf,data/tgp_chr8.trees,2,13971404
compute_afs,tskit,data/tgp_chr8.trees,2,57265600
load,tskit,data/tgp_chr8.trees,3,53675885
build_sf,sf,data/tgp_chr8.trees,3,8189934719
compute_subtree_sizes,sf,data/tgp_chr8.trees,3,8201139467
compute_afs,sf,data/tgp_chr8.trees,3,15783295
compute_afs,tskit,data/tgp_chr8.trees,3,55526129
load,tskit,data/tgp_chr8.trees,4,51647370
build_sf,sf,data/tgp_chr8.trees,4,8191192955
compute_subtree_sizes,sf,data/tgp_chr8.trees,4,8198503226
compute_afs,sf,data/tgp_chr8.trees,4,15443231
compute_afs,tskit,data/tgp_chr8.trees,4,55831942
load,tskit,data/tgp_chr8.trees,5,53023378
build_sf,sf,data/tgp_chr8.trees,5,8195641292
compute_subtree_sizes,sf,data/tgp_chr8.trees,5,8206312474
compute_afs,sf,data/tgp_chr8.trees,5,15377781
compute_afs,tskit,data/tgp_chr8.trees,5,55392257
load,tskit,data/tgp_chr8.trees,6,52594852
build_sf,sf,data/tgp_chr8.trees,6,8207166966
compute_subtree_sizes,sf,data/tgp_chr8.trees,6,8217738547
compute_afs,sf,data/tgp_chr8.trees,6,14055575
compute_afs,tskit,data/tgp_chr8.trees,6,55508398
load,tskit,data/tgp_chr8.trees,7,52253158
build_sf,sf,data/tgp_chr8.trees,7,8184100533
compute_subtree_sizes,sf,data/tgp_chr8.trees,7,8191980701
compute_afs,sf,data/tgp_chr8.trees,7,12839219
compute_afs,tskit,data/tgp_chr8.trees,7,55577599
load,tskit,data/tgp_chr8.trees,8,51690240
build_sf,sf,data/tgp_chr8.trees,8,8199877650
compute_subtree_sizes,sf,data/tgp_chr8.trees,8,8211062059
compute_afs,sf,data/tgp_chr8.trees,8,15377631
compute_afs,tskit,data/tgp_chr8.trees,8,55758881
load,tskit,data/tgp_chr8.trees,9,52922306
build_sf,sf,data/tgp_chr8.trees,9,8191531798
compute_subtree_sizes,sf,data/tgp_chr8.trees,9,8201909656
compute_afs,sf,data/tgp_chr8.trees,9,14972956
compute_afs,tskit,data/tgp_chr8.trees,9,57206669
