filename,collection,organism,chromosome,num_trees,sequence_length,num_sample_nodes,total_size,num_edges,num_individuals,num_migrations,num_mutations,num_nodes,num_populations,num_provenances,num_sites
sgdp_chr20.trees,Simons Genome Diversity Project,human,20,196307,63025522.0,554,110428155,1767857,277,0,347908,236257,130,5,347908
sgdp_chr21.trees,Simons Genome Diversity Project,human,21,125173,48129897.0,554,70515820,1139707,277,0,217062,149762,130,5,217062
sgdp_chr22.trees,Simons Genome Diversity Project,human,22,108069,51304568.0,554,61986493,1020429,277,0,183193,130453,130,5,183193
sgdp_chr2.trees,Simons Genome Diversity Project,human,2,718308,243199375.0,554,387652287,5984267,277,0,1315373,850961,130,5,1315373
sgdp_chr3.trees,Simons Genome Diversity Project,human,3,615886,198022432.0,554,336050168,5170297,277,0,1151101,730141,130,5,1151101
sgdp_chr4.trees,Simons Genome Diversity Project,human,4,575571,191154278.0,554,314920193,4755347,277,0,1118518,677957,130,5,1118518
sgdp_chr5.trees,Simons Genome Diversity Project,human,5,540698,180915262.0,554,293420481,4483906,277,0,1017317,639985,130,5,1017317
sgdp_chr6.trees,Simons Genome Diversity Project,human,6,509615,171115069.0,554,279581275,4235996,277,0,987306,602560,130,5,987306
sgdp_chr7.trees,Simons Genome Diversity Project,human,7,463523,159138665.0,554,253558243,3934844,277,0,854608,552387,130,5,854608
sgdp_chr8.trees,Simons Genome Diversity Project,human,8,478049,146364024.0,554,257854330,3975536,277,0,880230,564563,130,5,880230
sgdp_chr9.trees,Simons Genome Diversity Project,human,9,379488,141213433.0,554,207435264,3291220,277,0,668211,454045,130,5,668211
unified_chr10.trees,Unified (Wohns et al.),human,10,175448,133797424.0,7508,928524129,7631903,3754,0,7900675,980591,210,15,3092433
unified_chr11.trees,Unified (Wohns et al.),human,11,152575,135086624.0,7508,805563051,6580519,3754,0,6822800,853722,210,15,2713914
unified_chr12.trees,Unified (Wohns et al.),human,12,177729,133275311.0,7508,955391917,7824316,3754,0,8116468,1001327,210,15,3209391
unified_chr13.trees,Unified (Wohns et al.),human,13,185455,114364330.0,7508,1011338949,8195621,3754,0,9020926,1036534,210,15,3268475
unified_chr14.trees,Unified (Wohns et al.),human,14,175276,107043720.0,7508,914257933,7693275,3754,0,7655933,963644,210,15,3014126
unified_chr15.trees,Unified (Wohns et al.),human,15,174969,101991191.0,7508,873862621,7723660,3754,0,7302869,913042,210,15,2714602
unified_chr16.trees,Unified (Wohns et al.),human,16,103393,90338347.0,7508,518046764,4496835,3754,0,4366286,542967,210,15,1627012
unified_chr17.trees,Unified (Wohns et al.),human,17,109865,83257443.0,7508,577153662,5055550,3754,0,4859423,604709,210,15,1793360
unified_chr18.trees,Unified (Wohns et al.),human,18,119333,80373287.0,7508,629995974,5247938,3754,0,5254623,673050,210,15,2102098
unified_chr19.trees,Unified (Wohns et al.),human,19,71186,58617618.0,7508,345823040,3296728,3754,0,2809568,360598,210,15,987399
unified_chr1.trees,Unified (Wohns et al.),human,1,188035,248956424.0,7508,1010107079,8405711,3754,0,8581736,1057880,210,15,3328551
unified_chr20.trees,Unified (Wohns et al.),human,20,74301,64444169.0,7508,383634702,3434905,3754,0,3163735,407321,210,15,1178349
unified_chr21.trees,Unified (Wohns et al.),human,21,79153,46709985.0,7508,391643503,3554284,3754,0,3214079,419809,210,15,1182132
unified_chr22.trees,Unified (Wohns et al.),human,22,79969,50818470.0,7508,394925757,3719450,3754,0,3257559,411424,210,15,1129687
unified_chr2.trees,Unified (Wohns et al.),human,2,256897,242193531.0,7508,1403670153,11076879,3754,0,12041675,1475035,210,15,4868210
unified_chr3.trees,Unified (Wohns et al.),human,3,178448,198295561.0,7508,968937102,7737236,3754,0,7957931,1029706,210,15,3461548
unified_chr4.trees,Unified (Wohns et al.),human,4,251635,190214557.0,7508,1370999847,10701161,3754,0,11917078,1427566,210,15,4753470
unified_chr5.trees,Unified (Wohns et al.),human,5,234290,181538261.0,7508,1247136240,9928678,3754,0,10596333,1313519,210,15,4325444
unified_chr6.trees,Unified (Wohns et al.),human,6,196604,170805981.0,7508,1067998301,8356031,3754,0,9103693,1125044,210,15,3760889
unified_chr7.trees,Unified (Wohns et al.),human,7,173236,159345975.0,7508,947166478,7514518,3754,0,8644825,960048,210,15,3060219
unified_chr8.trees,Unified (Wohns et al.),human,8,173855,145138638.0,7508,964005977,7528207,3754,0,8176948,1015584,210,15,3418912
unified_chr9.trees,Unified (Wohns et al.),human,9,145469,138394719.0,7508,752140450,6398022,3754,0,6352303,793500,210,15,2419029
